ANGPT2	PIK3CA	->
ANGPT2	PIK3R1	->
ANGPT2	STAT5B	->
ANKLE2	BANF1	->
ANKLE2	PPP2CA	->
ANKLE2	PPP2R1A	->
ANKLE2	PPP2R2A	->
ANOS1	FGF1	->
ANOS1	FGF17	->
ANOS1	FGF2	->
ANOS1	FGF20	->
ANOS1	FGF23	->
ANOS1	FGF4	->
ANOS1	FGF5	->
ANOS1	FGF6	->
ANOS1	FGF8	->
ANOS1	FGF9	->
ANXA2	PLAT	->
ANXA2	PLG	->
AP1M1	CDH1	->
AP1M1	CTNNB1	->
AP2A1	FZD2	->
AP2A1	FZD5	->
AP2A1	ROR2	->
AP2A2	FZD2	->
AP2A2	FZD5	->
AP2A2	ROR2	->
AP2B1	FZD2	->
AP2B1	FZD5	->
AP2B1	ROR2	->
AP2M1	FZD2	->
AP2M1	FZD5	->
AP2M1	ROR2	->
AP2S1	FZD2	->
AP2S1	FZD5	->
AP2S1	ROR2	->
APAF1	CASP6	->
APAF1	DKFZP686N1815	->
APBA1	BZRAP1	->
APBA1	CPLX1	->
APBA1	PPFIA1	->
APBA1	PPFIA2	->
APBA1	PPFIA3	->
APBA1	PPFIA4	->
APBA1	RAB3A	->
APBA1	RIMS1	->
APBA1	SLC18A2	->
APBA1	SNAP25	->
APBA1	STX1A	->
APBA1	STXBP1	->
APBA1	SYT1	->
APBA1	UNC13B	->
APBA1	VAMP2	->
APC	CDC42	->
APC	RAC1	->
APEX1	ARNT	->
APEX1	EPAS1	->
APH1A	CNTN1	->
APH1A	CNTN6	->
APH1A	CTNNB1	->
APH1A	DLL1	->
APH1A	DLL4	->
APH1A	DNER	->
APH1A	DTX1	->
APH1A	FBXW11	->
APH1A	SDC3	->
APH1A	SORT1	->
APH1A	ZNF274	->
APH1B	CNTN1	->
APH1B	CNTN6	->
APH1B	CTNNB1	->
APH1B	DLL1	->
APH1B	DLL4	->
APH1B	DNER	->
APH1B	DTX1	->
APH1B	FBXW11	->
APH1B	SDC3	->
APH1B	SORT1	->
APH1B	ZNF274	->
APOA5	APOB	->
APOA5	APOE	->
APOA5	HSPG2	->
APOA5	LPL	->
APOA5	SDC1	->
APP	MAPK10	->
APP	MAPK11	->
APP	MAPK12	->
APP	MAPK13	->
APP	MAPK14	->
APP	MAPK15	->
APP	MAPK4	->
APP	MAPK6	->
APP	MAPK7	->
APP	MAPK8	->
APP	MAPK9	->
APP	MAPKAPK5	->
APP	NFKB2	->
APP	RELA	->
AR	CDKN2A	->
AR	CEBPA	->
AR	CMTM2	->
AR	CTDSP1	->
AR	GNAI1	->
AR	GNAI2	->
AR	GNAI3	->
AR	GNAO1	->
AR	GNAZ	->
AR	GNB1	->
AR	GNG2	->
AR	HDAC1	->
AR	HDAC7	->
AR	HOXB13	->
AR	HRAS	->
AR	LATS2	->
AR	MDM2	->
AR	NR2C1	->
AR	NR2C2	->
AR	PA2G4	->
AR	PATZ1	->
AR	PIAS4	->
AR	PTK2B	->
AR	REL	->
AR	RXRA	->
AR	RXRB	->
AR	RXRG	->
AR	SRY	->
AR	TCF4	->
AR	TGIF1	->
AR	UBA3	->
ARAP1	ARF1	->
ARAP1	CLTA	->
ARAP1	CLTB	->
ARAP1	COPA	->
ARAP1	KDELR1	->
ARAP1	KDELR2	->
ARAP1	KDELR3	->
ARAP2	ARF1	->
ARAP2	ARF6	->
ARAP2	CLTA	->
ARAP2	CLTB	->
ARAP2	COPA	->
ARAP2	KDELR1	->
ARAP2	KDELR2	->
ARAP2	KDELR3	->
ARAP3	ARF6	->
ARF1	PIK3CA	->
ARF1	PIK3R1	->
ARF1	PIP5K1A	->
ARF4	PLD2	->
ARF6	BIN1	->
ARF6	CLTC	->
ARF6	CPE	->
ARF6	EXOC1	->
ARF6	EXOC2	->
ARF6	EXOC3	->
ARF6	EXOC4	->
ARF6	EXOC5	->
ARF6	EXOC6	->
ARF6	EXOC7	->
ARF6	MAPK1	->
ARF6	MAPK3	->
ARF6	PLD1	->
ARF6	RHOA	->
ARF6	SLC2A4	->
ARF6	VAMP3	->
ARFGAP3	CLTA	->
ARFGAP3	CLTB	->
ARFGAP3	KDELR2	->
ARFGAP3	KDELR3	->
ARFGAP3	RAC1	->
ARFGAP3	RHOA	->
ARFGEF1	RHOA	->
ARHGAP4	CLTA	->
ARHGAP4	CLTB	->
ARHGAP4	COPA	->
ARHGAP4	KDELR1	->
ARHGAP4	KDELR2	->
ARHGAP4	KDELR3	->
ARHGEF10	RHOA	->
ARHGEF10L	RHOA	->
ARHGEF15	RHOA	->
ARHGEF25	CDC42	->
ARHGEF25	RAC1	->
ARHGEF25	RHOA	->
ARHGEF5	RHOA	->
ARNTL	HDAC3	->
ARNTL	NCOR1	->
ARNTL	SIK1	->
ARR3	CXCL12	->
ARR3	CXCR4	->
ARRB1	CXCL10	->
ARRB2	CXCL12	->
ARRB2	GLI1	->
ARRB2	GLI2	->
ARRB2	GLI3	->
ARRB2	HDAC1	->
ARRB2	HDAC2	->
ARRB2	RAB23	->
ARRB2	RBBP4	->
ARRB2	RBBP7	->
ARRB2	ROR2	->
ARRB2	SIN3A	->
ARRB2	SUFU	->
ASAP1	CLTA	->
ASAP1	CLTB	->
ASAP1	COPA	->
ASAP1	KDELR2	->
ASAP1	KDELR3	->
ASAP1	RAC1	->
ASAP1	RHOA	->
ASAP2	CLTA	->
ASAP2	CLTB	->
ASAP2	COPA	->
ASAP2	KDELR1	->
ASAP2	KDELR2	->
ASAP2	KDELR3	->
ASAP2	RAC1	->
ASAP2	RHOA	->
AT1	PLCB1	->
ATF2	KAT5	->
ATF2	NR1D1	->
ATF4	DCP2	->
ATF4	DIS3	->
ATF4	EXOSC1	->
ATF4	EXOSC2	->
ATF4	EXOSC3	->
ATF4	EXOSC4	->
ATF4	EXOSC5	->
ATF4	EXOSC6	->
ATF4	EXOSC7	->
ATF4	EXOSC8	->
ATF4	EXOSC9	->
ATF4	KHSRP	->
ATF7IP	SETD1B	->
ATF7IP	SETDB2	->
ATF7IP	SUV39H1	->
ATF7IP	SUV39H2	->
ATG9A	BECN1	->
ATG9A	PIK3C3	->
ATG9A	PIK3R4	->
ATM	BID	->
ATM	DYRK2	->
ATM	E2F1	->
ATM	FANCD2	->
ATM	MDM4	->
ATM	SMC1A	->
ATM	SMC3	->
ATM	TAOK1	->
ATM	TAOK2	->
ATM	TAOK3	->
ATM	TFDP1	->
ATM	TFDP2	->
ATM	TRIM28	->
ATM	TTC5	->
ATM	XRCC4	->
ATP2A1	NOTCH1	->
ATP2A1	SEL1L	->
ATP2A2	NOTCH1	->
ATP2A2	SEL1L	->
ATP2A3	NOTCH1	->
ATP2A3	SEL1L	->
ATP2B4	PLN	->
ATP2B4	TNNI3	->
ATR	CDKN2D	->
ATR	HES1	->
ATR	MST075	->
ATR	NTRK1	->
ATRIP	HES1	->
ATRIP	MDM2	->
AURKA	CDC25B	->
AURKA	CENPA	->
AURKA	DLGAP5	->
AURKA	NFKBIA	->
AURKA	TP53	->
AURKAIP1	OAZ1	->
AURKB	DES	->
AURKB	H3F3A	->
AURKB	KIF23	->
AURKB	MYLK	->
AURKB	NCAPD2	->
AURKB	NCAPG	->
AURKB	NCAPH	->
AURKB	NCL	->
AURKB	NPM1	->
AURKB	NSUN2	->
AURKB	RACGAP1	->
AURKB	SMC2	->
AURKB	SMC4	->
AURKB	STMN1	->
AURKB	VIM	->
AURKC	H3F3A	->
AXIN1	MAX	->
AXIN1	MYC	->
B2M	CSK	->
B2M	IL12RB2	->
B2M	IL2	->
B2M	IL2RA	->
B2M	IL2RB	->
B2M	IL2RG	->
B2M	JUN	->
B2M	PAG1	->
B2M	PRKCQ	->
B2M	PTPN11	->
B2M	PTPN6	->
BACE1	PSEN1	->
BARD1	FANCA	->
BARD1	FANCC	->
BARD1	FANCD2	->
BARD1	FANCE	->
BARD1	FANCF	->
BARD1	FANCG	->
BARD1	FANCL	->
BAX	DIABLO	->
BBS10	BBS2	->
BBS10	BBS4	->
BBS10	BBS5	->
BBS10	BBS7	->
BBS10	BBS9	->
BBS10	TTC8	->
BBS12	BBS2	->
BBS12	BBS4	->
BBS12	BBS5	->
BBS12	BBS7	->
BBS12	BBS9	->
BBS12	TTC8	->
